filename,edge_density,hog_mean,blur_value,power_mean,wavelet_energy,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,label
input_image_degree (2).png,12.395558733862773,0.09965010364023653,275.0782673408633,12720189496.999998,33686203.5,0.013886860627046558,0.04367044299747826,0.025566637810982725,0.12201738868606271,0.26741390342128046,0.21371372652339193,0.07571982385486846,0.055443562045993454,0.10959840415521849,0.07296924987767699,0
input_image_candle (2).png,13.627784879474069,0.10207291489475878,387.0796744200606,9953545779.999998,27394138.0,0.015060262965668371,0.04539444850255661,0.03155953250547845,0.12945398100803507,0.2795708546384222,0.2152337472607743,0.08086559532505479,0.05720964207450694,0.07161066471877282,0.07404127100073046,0
input_image_bottle (2).png,13.254649900056192,0.10350501763648393,309.1652440546463,12031566600.999996,33200564.0,0.015119281656974397,0.04551768914756913,0.031105347199678335,0.1270579937743165,0.27983606908564185,0.21468391226037792,0.08257681995778136,0.0567776402715044,0.0738562490009739,0.07346899764518218,0
input_image_decade (2).png,13.700314586496756,0.10061138099138023,374.6054934335761,10669205201.000004,29078015.5,0.014763042988644372,0.04485763689598303,0.029366249881939248,0.12756010200448994,0.2730854178624102,0.22179801076714062,0.08226654848482647,0.056741813849071135,0.07592396161027601,0.07363721565521901,0
input_image_crutch (2).png,13.841122793096607,0.09786788042094265,548.6189941475302,9341805519.0,24683492.5,0.015036699067645308,0.046193215631819086,0.032192025391787345,0.12555445348145208,0.2617496528466574,0.20896647490577266,0.07429875024796667,0.051513588573695694,0.11291212061098989,0.07158301924221384,0
input_image_avenue (2).png,13.309022116120895,0.10236306036720896,311.42827903594855,10695783965.999994,29134776.5,0.014397549659925228,0.04373496689338318,0.031742714292149005,0.12979595513715597,0.28910769785144813,0.21372730958064953,0.08127021305346606,0.05365884419620738,0.07257871267060043,0.06998603666501509,0
input_image_agenda (2).png,12.465288048826132,0.10426281986163019,344.50150036813176,12086769649.999994,33635090.0,0.014998581337647676,0.04454448864768275,0.031867080392878916,0.1288054862993438,0.27509824991397475,0.2140369093686047,0.08024950346817669,0.05596019293807992,0.08325736949815574,0.07118213813545508,0
input_image_desert (2).png,13.19110492575601,0.09962994515272744,277.1153140871491,11258181134.0,30351723.5,0.014037111003261967,0.04274377241651039,0.025815026692663195,0.12132014116588682,0.2773382079643399,0.21903710254818967,0.07569149808661714,0.054956278821227646,0.0984035132516348,0.07065734804966847,0
input_image_bubble (3).png,11.313125859079806,0.08815629524817716,300.73076319545373,26129551281.999992,56909018.5,0.01906027380215957,0.04153397759672461,0.008935016885209918,0.10272100139800383,0.1831948437017639,0.22609982756779026,0.03789282909726045,0.06888954361220243,0.24562023361101687,0.06605245272786817,0
input_image_belong (3).png,13.628615702479339,0.07832105298518122,316.0423131636446,17429634370.999996,37802067.5,0.02005526323314936,0.03406052503646086,0.005674668992536247,0.08999399468100318,0.1913980954559753,0.21884740770396638,0.025520818439188995,0.051461651748691696,0.3141246532643198,0.04886292144470817,0
input_image_belong (2).png,12.793448362493237,0.10078819199879123,241.79679082808343,11326698900.0,31540397.0,0.013915908680976061,0.042224419593393285,0.026487090623309027,0.1254718621969131,0.27608125692494007,0.22246450565590456,0.07850305341544488,0.0567684042361308,0.08634756113272694,0.07173593754026128,0
input_image_create (2).png,13.984066587395958,0.10101760825503753,328.2935699634637,9950700235.999996,27357184.0,0.014563614744351963,0.04339976218787158,0.03205136741973841,0.13135600475624257,0.28774887039239,0.21474054696789535,0.08095695600475625,0.052969322235434005,0.0724756242568371,0.06973793103448275,0
input_image_bubble (2).png,14.498991526481696,0.10127831592064539,270.6568082892011,10027785829.000002,27461934.5,0.014294185574732374,0.04228566524140944,0.031553322305795696,0.12943182172841047,0.30037295964545424,0.21490434131269312,0.07837029118941356,0.05291852626322524,0.06809829593333541,0.06777059080553041,0
input_image_banana (3).png,11.162033284827498,0.08881250652886405,296.4083180005458,25777537216.0,56124760.0,0.017503545838015066,0.039275912247416604,0.008133553758588296,0.10228361178139218,0.18162173736852769,0.21968653870949917,0.038029112711599034,0.06856015951666083,0.2615884433310615,0.0633173847372396,0
input_image_create (1).png,11.685085227272728,0.08598803488215807,362.79175915568885,23068378861.999992,49814845.0,0.017797004132231405,0.039227789256198346,0.008765495867768595,0.10072184917355372,0.17124612603305786,0.21266528925619835,0.03690986570247934,0.06371384297520662,0.28499870867768595,0.06395402892561984,0
input_image_carbon (2).png,13.670660536686057,0.09821699747763635,422.98358511808885,9850819974.0,26149811.0,0.014651904672546444,0.04451679489585288,0.03144492400075061,0.12623006192531433,0.2612234940889473,0.20638206042409457,0.07268718333646088,0.05058735222368174,0.12157628072809157,0.07069994370425971,0
input_image_candle (3).png,11.010391914975445,0.0925216961875428,308.61270708427065,25371489088.999996,55746395.0,0.017143679666775,0.04001691314806089,0.011129616114271705,0.11110948676917264,0.20675873686672686,0.24761680924015658,0.04447685631358596,0.06705995733478474,0.18765947445541126,0.06702847009105437,0
input_image_active (1).png,12.033151417065001,0.1013921083949801,344.0456728266602,12234049437.999996,32780375.5,0.015452595129662388,0.046634799954834584,0.02777071022620347,0.12385411569874666,0.251324475892958,0.21573111520945462,0.08077232865369416,0.059796002860476496,0.10083932402423877,0.07782453234973088,0
input_image_branch (2).png,13.796870322540222,0.10393940931443628,447.4333310589171,10770796480.000002,29245031.0,0.01598951552829624,0.04776839481763563,0.03556261791549766,0.13312877242570018,0.27850509255713896,0.20335245507898161,0.08139737261645352,0.05542985637805362,0.07684261457383337,0.07202330810840916,0
input_image_detail (2).png,14.23228206665825,0.10023146223453305,356.86867110653213,9516629834.999998,25813930.5,0.014901054159828304,0.04448025817447292,0.030717396793334174,0.1267516727685898,0.2850038663047595,0.2110371165256912,0.07758253377098852,0.053990184320161595,0.08508237596263098,0.07045354121954299,0
input_image_assume (2).png,13.811571502137886,0.09892947526762175,387.44502140843684,9322544004.999989,25662658.5,0.014235666801910053,0.04393004275771668,0.029060422583564807,0.12577439842701538,0.27911504010486565,0.21756304422458725,0.07785142473705564,0.055085671483411876,0.08533597578103055,0.0720483130988421,0
input_image_detail (1).png,12.110490482108284,0.08346133771865455,330.68111848100466,21759896980.0,47910648.0,0.015352900703507939,0.03657281227165327,0.0070990831462112445,0.09396951287808884,0.1793611891897658,0.21326051128332862,0.034192672636794694,0.0599715183290753,0.3022163966952728,0.05800340286630149,0
